epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6866,1.93418,2.21455,1.59645,0.95004,0.98462,0.97097,0.38809,1.84157,1.49828,1.48958,0.0672444,0.000330864,0.000330864
2,19.4008,1.46405,1.29795,1.2284,0.91182,0.95447,0.96204,0.33664,2.12095,1.26602,1.33818,0.0342404,0.00066015,0.00066015
3,28.2726,1.47458,1.15266,1.2369,0.6601,0.78462,0.71796,0.24629,2.1166,1.59288,1.43705,0.00122028,0.000973364,0.000973364
4,38.7538,1.43655,1.10717,1.22216,0.9522,0.91951,0.98198,0.53603,1.64701,1.0222,1.3345,0.000946048,0.000946048,0.000946048
5,48.1164,1.44097,1.06973,1.23971,0.95303,0.93647,0.987,0.53215,1.74874,1.07161,1.38403,0.000905463,0.000905463,0.000905463
6,57.0395,1.44138,1.00488,1.19878,0.98047,1,0.99273,0.57303,1.6243,0.9369,1.22635,0.000855018,0.000855018,0.000855018
7,65.2081,1.35186,0.99619,1.20867,0.99596,1,0.995,0.51128,1.72032,1.03574,1.27003,0.000795954,0.000795954,0.000795954
8,73.5292,1.31396,0.91284,1.16582,0.9967,1,0.995,0.52998,1.71554,0.81352,1.19084,0.000729725,0.000729725,0.000729725
9,81.7107,1.2132,0.8576,1.1362,0.99741,1,0.995,0.51416,1.72258,0.82627,1.19854,0.000657963,0.000657963,0.000657963
10,89.7304,1.19239,0.86597,1.13084,0.98303,1,0.99485,0.61019,1.36282,0.74597,1.13323,0.000582435,0.000582435,0.000582435
11,106.684,1.00789,0.76566,1.03516,0.96975,0.98628,0.9947,0.62654,1.46424,1.03686,1.1567,0.000505,0.000505,0.000505
12,114.8,0.94912,0.72077,1.0136,0.98977,1,0.995,0.65368,1.30471,0.8525,1.12293,0.000427565,0.000427565,0.000427565
13,122.663,0.89551,0.66449,0.99114,0.99636,1,0.995,0.58588,1.50542,0.87344,1.09724,0.000352037,0.000352037,0.000352037
14,131.232,0.87115,0.6234,0.97185,0.99639,1,0.995,0.64545,1.38253,0.74018,1.08433,0.000280275,0.000280275,0.000280275
15,139.236,0.78284,0.59436,0.96233,0.99727,1,0.995,0.71324,1.12277,0.68646,1.0965,0.000214046,0.000214046,0.000214046
16,147.46,0.75847,0.58461,0.96516,0.99798,1,0.995,0.70509,1.18186,0.68884,1.09909,0.000154982,0.000154982,0.000154982
17,155.846,0.70519,0.5658,0.94318,0.99771,1,0.995,0.70611,1.16675,0.69894,1.0749,0.000104537,0.000104537,0.000104537
18,164.681,0.70117,0.55087,0.93897,0.99759,1,0.995,0.72474,1.14742,0.66544,1.06086,6.39518e-05,6.39518e-05,6.39518e-05
19,173.476,0.67912,0.5336,0.94157,0.99779,1,0.995,0.7242,1.10815,0.63176,1.05048,3.4227e-05,3.4227e-05,3.4227e-05
20,184.168,0.6891,0.54467,0.93374,0.99744,1,0.995,0.7515,1.02842,0.62358,1.04892,1.60943e-05,1.60943e-05,1.60943e-05
